,0
0,"Al-Zaman : American forces killed Shaikh Abdullah al-Ani, the preacher at the mosque in the town of Qaim, near the Syrian border."
1,"- al Zaman : forces American killed Shaikh Abdullah al - Ani , the at preacher the mosque in town Qaim the of , near the Syrian border ."
2,"Zaman al - American forces : killed Shaikh Abdullah - al Ani , the preacher at the mosque in the town of Qaim near the , border Syrian ."
3,[This killing of a respected cleric will be causing us trouble for years to come.]
4,[ This killing a respected of cleric be causing will trouble us for years to come . ]
5,[ killing This a of respected will cleric be causing us trouble for years to come . ]
6,DPA: Iraqi authorities announced that they had busted up 3 terrorist cells operating in Baghdad.
7,DPA Iraqi : authorities announced that they had busted up 3 terrorist operating in cells Baghdad .
8,DPA : Iraqi authorities announced that they had busted up 3 cells terrorist operating in Baghdad .
9,Two of them were being run by 2 officials of the Ministry of the Interior!
10,Of two them were being run by 2 officials of the Ministry of Interior the !
11,Two of them were being run 2 by of officials Ministry the of the ! Interior
12,"The MoI in Iraq is equivalent to the US FBI, so this would be like having J. Edgar Hoover unwittingly employ at a high level members of the Weathermen bombers back in the 1960s."
13,"The MoI in is equivalent Iraq the to US , FBI so be this would like having J . Edgar unwittingly Hoover employ at high a level members of Weathermen the bombers back the in 1960s ."
14,"The MoI in Iraq to is equivalent the FBI US so , this would like be having J . Edgar Hoover at employ unwittingly a level high members of the Weathermen back bombers in the 1960s ."
15,The third was being run by the head of an investment firm.
16,The third was being run by the head investment of firm an .
17,The was third being by run the head an of investment firm .
18,You wonder if he was manipulating the market with his bombing targets.
19,Wonder you if was he the manipulating market with his bombing targets .
20,Wonder you if he was manipulating with the market his bombing targets .
21,The cells were operating in the Ghazaliyah and al-Jihad districts of the capital.
22,The were cells operating in Ghazaliyah the and al - Jihad districts of the capital .
23,The cells were operating the in Ghazaliyah al and Jihad - districts of capital the .
24,"Although the announcement was probably made to show progress in identifying and breaking up terror cells, I don't find the news that the Baathists continue to penetrate the Iraqi government very hopeful."
25,"The although announcement was probably to show made progress in identifying up and breaking terror cells , I don ' find t that the news Baathists the continue to penetrate Iraqi the government very hopeful ."
26,"The although was announcement probably made to show progress in identifying and up breaking terror cells , I don ' t find the that news the Baathists to continue penetrate government the Iraqi very . hopeful"
27,It reminds me too much of the ARVN officers who were secretly working for the other side in Vietnam.
28,It reminds me too much of the ARVN officers who were secretly for the other working side Vietnam in .
29,It me too reminds much the of officers ARVN who secretly were working for the other side in . Vietnam
30,Al-Zaman : Guerrillas killed a member of the Kurdistan Democratic Party after kidnapping him in Mosul.
31,Al - Zaman : Guerrillas a killed member of the Kurdistan Democratic after Party him in Mosul kidnapping .
32,Al - Zaman : Guerrillas killed member a of the Kurdistan Democratic Party after him kidnapping in . Mosul
33,"The police commander of Ninevah Province announced that bombings had declined 80 percent in Mosul, whereas there had been a big jump in the number of kidnappings."
34,"The police of Ninevah commander Province announced that bombings had declined percent 80 in Mosul , there whereas had been a jump big in the of number kidnappings ."
35,"The of police commander Ninevah Province announced bombings that had declined 80 percent Mosul in , whereas there had been big a jump in the number of . kidnappings"
36,On Wednesday guerrillas had kidnapped a cosmetic surgeon and his wife while they were on their way home.
37,On Wednesday guerrillas had a kidnapped surgeon his cosmetic and wife while they were on their home way .
38,On guerrillas had Wednesday kidnapped a cosmetic surgeon and his while wife they were on their way home .
39,"In Suwayrah, Kut Province, two car bombs were discovered before they could be detonated."
40,"Suwayrah , in Province Kut two , car bombs were before discovered they could be detonated ."
41,"In suwayrah , Kut Province , two car bombs were before discovered they detonated could be ."
42,"(Kut is in southeastern Iraq and has an overwhelmingly Shiite population, who are on the lookout for Baathist saboteurs and willingly turn them in."
43,"( Kut is southeastern in and Iraq has an overwhelmingly Shiite , population who are the on lookout for saboteurs Baathist and willingly them turn in ."
44,"( Kut is in southeastern Iraq and has overwhelmingly Shiite an population who are , on the lookout for Baathist saboteurs willingly and them turn in ."
45,This willingness is the main difference in the number of bombings in the south as opposed to the center-north of the country.)
46,This willingness is the main difference in the number of bombings the in as the south opposed to center - north of the country . )
47,This is willingness main the difference in the of number bombings in the as south opposed to the - center of north country the . )
48,"In Baghdad Kadhim Talal Husain, assistant dean at the School of Education at Mustansiriyah University, was assassinated with his driver in the Salikh district."
49,"Baghdad in Talal Husain Kadhim , dean at assistant the School of Education at University Mustansiriyah , was with assassinated his in driver the Salikh district ."
50,"In Kadhim Baghdad Talal Husain , assistant dean the School at Education of at Mustansiriyah University , was assassinated his with driver in the district Salikh ."
51,"Guerrillas killed an engineer, Asi Ali, from Tikrit."
52,"Killed guerrillas engineer an , Asi Ali , Tikrit from ."
53,"Guerrillas an killed engineer , Ali Asi , from . Tikrit"
54,"They also killed Shaikh Hamid 'Akkab, a clan elder of a branch of the Dulaim tribe in Tikrit."
